words,count
country,28
by,26
going,26
been,22
all,21
them,21
—,20
america,17
more,16
new,16
no,16
people,16
trade,16
am,16
than,15
work,15
one,15
every,15
ever,14
can,14
american,13
world,13
these,13
make,13
other,12
now,12
violence,11
never,11
also,10
year,10
time,10
her,10
president,10
americans,10
which,10
hillary,10
were,10
opponent,10
great,10
most,9
years,9
law,9
nation,9
terrorism,9
way,9
any,9
up,9
into,9
just,9
jobs,9
immigration,9
it’s,8
very,8
life,8
tonight,8
do,8
children,8
better,8
deals,8
clinton,8
same,8
political,8
system,8
greatest,8
protect,8
much,8
trump,8
support,7
last,7
percent,7
back,7
many,7
state,7
if,7
want,7
made,7
down,7
being,7
believe,7
take,7
failed,7
must,7
stop,7
love,7
i’m,7
donald,6
trump’s,6
vox,6
cities,6
does,6
even,6
crime,6
citizens,6
there,6
america’s,6
killed,6
illegal,6
families,6
after,6
again,6
put,6
bad,6
change,6
plan,6
first,6
right,6
laws,6
countries,6
don’t,6
supported,6
start,6
speech,5
its,5
like,5
republican,5
united,5
say,5
received,5
almost,5
get,5
safety,5
seen,5
message,5
come,5
government,5
go,5
alone,5
border,5
office,5
dollars,5
fix,5
only,5
deal,5
whole,5
safe,5
policy,5
over,5
share,5
rigged,5
economic,5
three,5
massive,5
where,5
pledge,5
transcript,4
acceptance,4
sign,4
days,4
need,4
we’re,4
important,4
member,4
national,4
convention,4
see,4
million,4
ago,4
democrats,4
hand,4
20,4
four,4
police,4
communities,4
mean,4
lives,4
media,4
next,4
here,4
nothing,4
increase,4
free,4
far,4
thousands,4
such,4
day,4
child,4
poverty,4
oath,4
iran,4
libya,4
less,4
foreign,4
isis,4
lost,4
long,4
politicians,4
respect,4
millions,4
special,4
interests,4
things,4
workers,4
longer,4
save,4
how,4
against,4
order,4
islamic,4
win,4
mary,4
wants,4
sanctuary,4
happen,4
taxes,4
those,4
always,4
