words,count
president,17
america,17
trump,15
people,14
one,13
all,12
security,11
freedom,11
mother,10
donald,10
up,9
always,9
let,9
class,9
by,9
never,9
states,9
middle,9
love,8
going,8
like,8
fight,8
americans,8
united,8
everyone,7
world,7
law,7
were,7
against,7
nation,7
country,7
border,7
back,7
where,7
had,6
her,6
own,6
now,6
them,6
how,6
make,6
do,6
those,6
there,6
behalf,6
opportunity,6
being,5
together,5
every,5
home,5
parents,5
anything,5
taught,5
could,5
live,5
many,5
rights,5
only,5
another,5
election,5
past,5
americas,5
women,5
most,5
him,5
get,5
care,5
tax,5
lets,5
over,5
father,4
put,4
here,4
no,4
harris,4
day,4
especially,4
school,4
act,4
big,4
just,4
did,4
before,4
small,4
working,4
family,4
told,4
want,4
other,4
quote,4
safety,4
american,4
party,4
ever,4
forward,4
can,4
children,4
bill,4
future,4
consider,4
again,4
national,4
into,4
end,4
create,4
well,4
done,4
allies,4
must,4
defend,4
stand,4
